x	y 	z	prob	kg/s	T 
427813	4519397	0	1	0.00077	300
427828	4519397	0	1	0.00071	300
427843	4519397	0	1	0.00074	300
427768	4519412	0	1	0.0032	300
427783	4519412	0	1	0.0015	300
427798	4519412	0	1	0.001	300
427813	4519412	0	1	0.00063	300
427828	4519412	0	1	0.00056	300
427843	4519412	0	1	0.00067	300
427858	4519412	0	1	0.00083	300
427873	4519412	0	1	0.0012	300
427888	4519412	0	1	0.0013	300
427903	4519412	0	1	0.0013	300
427918	4519412	0	1	0.0015	300
427738	4519427	0	1	0.0042	300
427753	4519427	0	1	0.0036	300
427768	4519427	0	1	0.0026	300
427783	4519427	0	1	0.0016	300
427798	4519427	0	1	0.0012	300
427813	4519427	0	1	0.00081	300
427828	4519427	0	1	0.00067	300
427843	4519427	0	1	0.00073	300
427858	4519427	0	1	0.00082	300
427873	4519427	0	1	0.001	300
427888	4519427	0	1	0.0012	300
427903	4519427	0	1	0.0014	300
427918	4519427	0	1	0.0018	300
427933	4519427	0	1	0.0015	300
427948	4519427	0	1	0.002	300
427963	4519427	0	1	0.002	300
427978	4519427	0	1	0.0013	300
427993	4519427	0	1	0.0012	300
428038	4519427	0	1	0.00097	300
428053	4519427	0	1	0.001	300
428068	4519427	0	1	0.00096	300
428083	4519427	0	1	0.0013	300
428098	4519427	0	1	0.0011	300
428113	4519427	0	1	0.0011	300
428128	4519427	0	1	0.0012	300
428143	4519427	0	1	0.0015	300
428158	4519427	0	1	0.0013	300
428173	4519427	0	1	0.0015	300
428188	4519427	0	1	0.0016	300
428203	4519427	0	1	0.0019	300
428218	4519427	0	1	0.0017	300
428233	4519427	0	1	0.0019	300
428248	4519427	0	1	0.0018	300
428263	4519427	0	1	0.0016	300
427738	4519442	0	1	0.0028	300
427753	4519442	0	1	0.003	300
427768	4519442	0	1	0.0023	300
427783	4519442	0	1	0.0016	300
427798	4519442	0	1	0.0012	300
427813	4519442	0	1	0.00089	300
427828	4519442	0	1	0.00084	300
427843	4519442	0	1	0.00087	300
427858	4519442	0	1	0.00096	300
427873	4519442	0	1	0.0011	300
427888	4519442	0	1	0.0014	300
427903	4519442	0	1	0.0018	300
427918	4519442	0	1	0.0017	300
427933	4519442	0	1	0.0017	300
427948	4519442	0	1	0.0015	300
427963	4519442	0	1	0.0017	300
427978	4519442	0	1	0.0017	300
427993	4519442	0	1	0.0011	300
428008	4519442	0	1	0.0011	300
428023	4519442	0	1	0.00087	300
428038	4519442	0	1	0.00087	300
428053	4519442	0	1	0.00092	300
428068	4519442	0	1	0.00098	300
428083	4519442	0	1	0.001	300
428098	4519442	0	1	0.0012	300
428113	4519442	0	1	0.0012	300
428128	4519442	0	1	0.0012	300
428143	4519442	0	1	0.0012	300
428158	4519442	0	1	0.001	300
428173	4519442	0	1	0.0014	300
428188	4519442	0	1	0.0015	300
428203	4519442	0	1	0.0019	300
428218	4519442	0	1	0.0019	300
428233	4519442	0	1	0.0016	300
428248	4519442	0	1	0.0015	300
428263	4519442	0	1	0.0012	300
428278	4519442	0	1	0.0015	300
428293	4519442	0	1	0.002	300
427693	4519457	0	1	0.0036	300
427708	4519457	0	1	0.003	300
427723	4519457	0	1	0.0025	300
427738	4519457	0	1	0.002	300
427753	4519457	0	1	0.0017	300
427768	4519457	0	1	0.0017	300
427783	4519457	0	1	0.0015	300
427798	4519457	0	1	0.0012	300
427813	4519457	0	1	0.00097	300
427828	4519457	0	1	0.00098	300
427843	4519457	0	1	0.001	300
427858	4519457	0	1	0.0015	300
427873	4519457	0	1	0.0014	300
427888	4519457	0	1	0.0016	300
427903	4519457	0	1	0.0019	300
427918	4519457	0	1	0.0017	300
427933	4519457	0	1	0.002	300
427948	4519457	0	1	0.0015	300
427963	4519457	0	1	0.0016	300
427978	4519457	0	1	0.0015	300
427993	4519457	0	1	0.0011	300
428008	4519457	0	1	0.00098	300
428023	4519457	0	1	0.00083	300
428038	4519457	0	1	0.00078	300
428053	4519457	0	1	0.001	300
428068	4519457	0	1	0.0011	300
428083	4519457	0	1	0.0014	300
428098	4519457	0	1	0.0014	300
428113	4519457	0	1	0.0014	300
428128	4519457	0	1	0.0012	300
428143	4519457	0	1	0.0011	300
428158	4519457	0	1	0.0011	300
428173	4519457	0	1	0.0014	300
428188	4519457	0	1	0.0016	300
428203	4519457	0	1	0.0017	300
428218	4519457	0	1	0.0018	300
428233	4519457	0	1	0.0015	300
428248	4519457	0	1	0.0016	300
428263	4519457	0	1	0.0013	300
428278	4519457	0	1	0.0013	300
428293	4519457	0	1	0.0019	300
427633	4519472	0	1	0.0038	300
427648	4519472	0	1	0.0038	300
427663	4519472	0	1	0.0035	300
427678	4519472	0	1	0.0036	300
427693	4519472	0	1	0.0035	300
427708	4519472	0	1	0.0027	300
427723	4519472	0	1	0.0024	300
427738	4519472	0	1	0.0017	300
427753	4519472	0	1	0.0014	300
427768	4519472	0	1	0.0015	300
427783	4519472	0	1	0.0016	300
427798	4519472	0	1	0.0012	300
427813	4519472	0	1	0.0012	300
427828	4519472	0	1	0.0014	300
427843	4519472	0	1	0.0014	300
427858	4519472	0	1	0.0016	300
427873	4519472	0	1	0.0017	300
427888	4519472	0	1	0.0026	300
427903	4519472	0	1	0.0025	300
427918	4519472	0	1	0.0026	300
427933	4519472	0	1	0.0021	300
427948	4519472	0	1	0.0019	300
427963	4519472	0	1	0.0022	300
427978	4519472	0	1	0.0014	300
427993	4519472	0	1	0.0013	300
428008	4519472	0	1	0.0011	300
428023	4519472	0	1	0.0011	300
428038	4519472	0	1	0.00096	300
428053	4519472	0	1	0.0012	300
428068	4519472	0	1	0.0016	300
428083	4519472	0	1	0.0019	300
428098	4519472	0	1	0.0019	300
428113	4519472	0	1	0.0019	300
428128	4519472	0	1	0.0015	300
428143	4519472	0	1	0.0014	300
428158	4519472	0	1	0.0017	300
428173	4519472	0	1	0.0018	300
428188	4519472	0	1	0.0018	300
428203	4519472	0	1	0.0022	300
428218	4519472	0	1	0.0022	300
428233	4519472	0	1	0.0017	300
428248	4519472	0	1	0.0016	300
428263	4519472	0	1	0.0017	300
428278	4519472	0	1	0.0018	300
428293	4519472	0	1	0.0029	300
428308	4519472	0	1	0.0032	300
427438	4519487	0	1	0.0054	300
427453	4519487	0	1	0.0083	300
427468	4519487	0	1	0.0099	300
427483	4519487	0	1	0.011	300
427498	4519487	0	1	0.011	300
427513	4519487	0	1	0.0092	300
427528	4519487	0	1	0.0076	300
427543	4519487	0	1	0.0073	300
427558	4519487	0	1	0.0096	300
427573	4519487	0	1	0.0093	300
427588	4519487	0	1	0.0087	300
