CO2/H2O,H2S/H2O,CO2,H2S
0.011,0.0115,44.01,34.1
0.0111,0.0064,,
0.0121,0.0064,,
0.0123,0.0056,,
0.0128,0.0063,,
0.0143,0.0062,,
0.0143,0.0064,,
0.015,0.0121,,
0.0151,0.0066,,
0.0153,0.0063,,
0.0153,0.0153,,
0.0156,0.0148,,
0.0157,0.0151,,
0.0157,0.0148,,
0.0158,0.015,,
0.0159,0.0147,,
0.0159,0.0148,,
0.016,0.0147,,
0.0161,0.015,,
0.0161,0.0148,,
0.0161,0.0147,,
0.0161,0.0146,,
0.0161,0.0149,,
0.0161,0.0147,,
0.0161,0.0145,,
0.0161,0.0146,,
0.0161,0.0146,,
0.0161,0.0144,,
0.0161,0.0145,,
0.0161,0.0144,,
0.0161,0.0143,,
0.0161,0.0143,,
0.0161,0.0141,,
0.0161,0.0142,,
0.0161,0.0142,,
0.0162,0.0139,,
0.0162,0.0137,,
0.0162,0.014,,
0.0162,0.0139,,
0.0162,0.0136,,
0.0162,0.0132,,
0.0162,0.0136,,
0.0163,0.0136,,
0.0163,0.0134,,
0.0163,0.0136,,
0.0163,0.0134,,
0.0163,0.0135,,
0.0163,0.0134,,
0.0163,0.0129,,
0.0163,0.0133,,
0.0163,0.0133,,
0.0163,0.0129,,
0.0163,0.0123,,
0.0163,0.0129,,
0.0163,0.0129,,
0.0163,0.0124,,
0.0163,0.0125,,
0.0163,0.013,,
0.0163,0.0131,,
0.0163,0.0125,,
0.0163,0.0126,,
0.0164,0.0132,,
0.0164,0.013,,
0.0164,0.0123,,
0.0164,0.0125,,
0.0164,0.0128,,
0.0164,0.0126,,
0.0164,0.012,,
0.0164,0.0128,,
0.0165,0.0123,,
0.0165,0.0122,,
0.0165,0.0125,,
0.0165,0.0126,,
0.0165,0.0128,,
0.0166,0.0128,,
0.0166,0.0127,,
0.0166,0.0125,,
0.0166,0.0125,,
0.0166,0.0127,,
0.0166,0.0121,,
0.017,0.0118,,
0.0167,0.0128,,
0.0167,0.012,,
0.0167,0.012,,
0.0167,0.012,,
0.0167,0.0123,,
0.0168,0.0124,,
0.0168,0.0118,,
0.0168,0.012,,
0.0168,0.0143,,
0.0169,0.0128,,
0.0169,0.0121,,
0.0169,0.0121,,
0.017,0.0127,,
0.017,0.0121,,
0.0171,0.0121,,
0.0171,0.0123,,
0.0171,0.0121,,
0.0171,0.012,,
0.0171,0.012,,
0.0171,0.0124,,
0.0172,0.0122,,
0.0172,0.012,,
0.0172,0.0123,,
0.0172,0.0131,,
0.0172,0.0124,,
0.0172,0.0131,,
0.0172,0.0128,,
0.0172,0.0131,,
0.0173,0.013,,
0.0173,0.0126,,
0.0173,0.0127,,
0.0173,0.0123,,
0.0173,0.0131,,
0.0173,0.0128,,
0.0173,0.013,,
0.0173,0.0127,,
0.0174,0.0125,,
0.0174,0.0128,,
0.0174,0.0129,,
0.0174,0.0127,,
0.0174,0.0131,,
0.0174,0.0127,,
0.0174,0.0132,,
0.0174,0.0133,,
0.0174,0.0126,,
0.0174,0.0127,,
0.0174,0.0128,,
0.0174,0.0134,,
0.0174,0.0132,,
0.0174,0.0128,,
0.0175,0.0126,,
0.0175,0.0123,,
0.0175,0.0124,,
0.0175,0.0129,,
0.0175,0.0122,,
0.0175,0.0123,,
0.0175,0.0119,,
0.0175,0.0117,,
0.0175,0.0131,,
0.0175,0.0081,,
0.0175,0.0121,,
0.0176,0.0127,,
0.0176,0.0128,,
0.0176,0.0129,,
0.0176,0.013,,
0.0176,0.013,,
0.0176,0.0128,,
0.0176,0.0126,,
0.0176,0.0128,,
0.0176,0.0127,,
0.0176,0.0127,,
0.0176,0.0128,,
0.0176,0.0124,,
0.0177,0.0126,,
0.0177,0.0129,,
0.0177,0.0127,,
0.0178,0.0125,,
0.0178,0.0128,,
0.0178,0.0121,,
0.0178,0.0124,,
0.0178,0.0127,,
0.0178,0.0119,,
0.0179,0.0134,,
0.0179,0.0116,,
0.018,0.0102,,
0.018,0.0106,,
0.0181,0.0129,,
0.0181,0.0132,,
0.0181,0.0095,,
0.0181,0.014,,
0.0181,0.0074,,
0.0181,0.0138,,
0.0181,0.0133,,
0.0181,0.013,,
0.0182,0.0126,,
0.0182,0.0134,,
0.0182,0.0134,,
0.0182,0.0133,,
0.0182,0.0133,,
0.0182,0.0136,,
0.0182,0.0133,,
0.0182,0.0135,,
0.0182,0.0137,,
0.0182,0.0134,,
0.0182,0.0136,,
0.0182,0.0135,,
0.0182,0.0137,,
0.0183,0.0132,,
0.0183,0.0134,,
0.0183,0.0129,,
0.0183,0.0129,,
0.0183,0.0135,,
0.0183,0.0133,,
0.0183,0.0133,,
0.0183,0.0132,,
0.0183,0.0135,,
0.0183,0.0135,,
0.0183,0.0136,,
0.0183,0.0136,,
0.0183,0.0133,,
0.0183,0.0134,,
0.0183,0.0136,,
0.0183,0.0136,,
0.0183,0.0138,,
0.0184,0.0134,,
0.0184,0.0137,,
0.0184,0.0134,,
0.0184,0.0134,,
0.0184,0.0135,,
0.0184,0.0134,,
0.0184,0.0138,,
0.0184,0.0135,,
0.0184,0.0133,,
0.0184,0.0133,,
0.0184,0.0137,,
0.0184,0.0139,,
0.0184,0.0139,,
0.0184,0.0136,,
0.0184,0.0135,,
0.0184,0.0135,,
0.0184,0.0135,,
0.0184,0.0139,,
0.0184,0.0137,,
0.0184,0.0133,,
0.0184,0.0132,,
0.0184,0.0137,,
0.0184,0.0136,,
0.0185,0.0097,,
0.0185,0.012,,
0.0185,0.0124,,
0.0185,0.0131,,
0.0185,0.0129,,
0.0185,0.0109,,
0.0185,0.0132,,
0.0185,0.0104,,
0.0185,0.0123,,
0.0185,0.0132,,
0.0185,0.0136,,
0.0185,0.0133,,
0.0185,0.0133,,
0.0185,0.013,,
0.0185,0.0132,,
0.0185,0.0145,,
0.0185,0.0125,,
0.0185,0.0126,,
0.0185,0.0098,,
0.0185,0.011,,
0.0185,0.0119,,
0.0185,0.0109,,
0.0185,0.0129,,
0.0185,0.011,,
0.0185,0.0131,,
0.0185,0.0131,,
0.0185,0.0136,,
0.0186,0.0135,,
0.0186,0.0137,,
0.0186,0.0132,,
0.0186,0.0134,,
0.0186,0.0134,,
0.0186,0.0131,,
0.0186,0.0135,,
0.0186,0.0138,,
0.0186,0.0137,,
0.0186,0.013,,
0.0186,0.0135,,
0.0186,0.0129,,
0.0186,0.0133,,
0.0186,0.0129,,
0.0186,0.0129,,
0.0186,0.0127,,
0.0186,0.0135,,
0.0186,0.0131,,
0.0186,0.0137,,
0.0186,0.0137,,
0.0186,0.0129,,
0.0186,0.0133,,
0.0186,0.0132,,
0.0186,0.0131,,
0.0186,0.0133,,
0.0186,0.0133,,
0.0187,0.013,,
0.0187,0.0133,,
0.0187,0.0126,,
0.0187,0.0132,,
0.0187,0.0132,,
0.0187,0.0132,,
0.0187,0.0131,,
0.0187,0.0133,,
0.0187,0.0132,,
0.0187,0.0127,,
0.0187,0.0134,,
0.0187,0.013,,
0.0187,0.0132,,
0.0187,0.0134,,
0.0187,0.013,,
0.0187,0.013,,
0.0187,0.013,,
0.0187,0.0133,,
0.0187,0.0135,,
0.0187,0.0138,,
0.0187,0.0135,,
0.0187,0.0138,,
0.0188,0.0135,,
0.0188,0.0136,,
0.0188,0.0162,,
0.0188,0.015,,
0.0188,0.0148,,
0.0188,0.0151,,
0.0188,0.0146,,
0.0188,0.0151,,
0.0188,0.0153,,
0.0188,0.0151,,
0.0188,0.0151,,
0.0188,0.0148,,
0.0188,0.0148,,
0.0188,0.0145,,
0.0188,0.0146,,
0.0188,0.0149,,
0.0188,0.0145,,
0.0188,0.0148,,
0.0188,0.0151,,
0.0188,0.0154,,
0.0188,0.0148,,
0.0189,0.0149,,
0.0189,0.015,,
0.0189,0.015,,
0.0189,0.0147,,
0.0189,0.0149,,
0.0189,0.0145,,
0.0189,0.0145,,
0.0189,0.0152,,
0.0189,0.0145,,
0.0189,0.0148,,
0.0189,0.0145,,
0.0189,0.0146,,
0.0189,0.0146,,
0.0189,0.0146,,
0.0189,0.0113,,
0.0189,0.0102,,
0.0189,0.0138,,
0.0189,0.0143,,
0.0189,0.0142,,
0.0189,0.0132,,
0.0189,0.0104,,
0.0189,0.0114,,
0.0189,0.0121,,
0.0189,0.0125,,
0.019,0.0152,,
0.019,0.0138,,
0.019,0.0109,,
0.019,0.0118,,
0.019,0.0126,,
0.019,0.0132,,
0.019,0.0113,,
0.019,0.0114,,
0.019,0.0119,,
0.019,0.0208,,
0.019,0.0151,,
0.019,0.0147,,
0.019,0.0154,,
0.019,0.0162,,
0.019,0.0151,,
0.019,0.0132,,
0.019,0.0152,,
0.0191,0.0155,,
0.0191,0.0172,,
0.0191,0.0165,,
0.0191,0.0147,,
0.0191,0.015,,
0.0191,0.0157,,
0.0191,0.016,,
0.0191,0.0158,,
0.0191,0.0156,,
0.0191,0.0147,,
0.0191,0.0156,,
0.0191,0.0157,,
0.0191,0.0157,,
0.0191,0.0174,,
0.0192,0.0178,,
0.0192,0.0175,,
0.0192,0.017,,
0.0192,0.0168,,
0.0192,0.0168,,
0.0192,0.0162,,
0.0192,0.0164,,
0.0192,0.0162,,
0.0192,0.023,,
0.0192,0.0165,,
0.0192,0.0165,,
