yyyymmdd-HH:MM,T(°C),Wind dir (°N),Wind speed(km/h),P(hPa),Tsoil(°C)
20160416-00:05,14.186667,41.819018,5.031000,857.216500,NaN
20160416-01:05,13.893333,45.242331,4.203500,856.367333,NaN
20160416-02:05,13.808333,48.665644,4.064500,855.794667,NaN
20160416-03:05,13.766667,52.088957,5.327500,855.462833,NaN
20160416-04:05,13.611667,55.512270,5.931833,855.706833,NaN
20160416-05:05,13.831667,58.935583,6.763667,856.251000,NaN
20160416-06:05,15.110000,62.358896,8.066000,856.546667,NaN
20160416-07:05,24.483333,65.782209,4.659667,857.197000,NaN
20160416-08:05,29.295000,69.205521,5.780667,857.530667,NaN
20160416-09:05,29.460000,72.628834,7.314500,857.631833,NaN
20160416-10:05,25.735000,76.052147,4.354500,857.831000,NaN
20160416-11:05,26.633333,79.475460,7.421167,857.621833,NaN
20160416-12:05,25.693333,82.898773,7.077167,857.307833,NaN
20160416-13:05,23.250000,86.322086,5.669833,857.026500,NaN
20160416-14:05,26.960000,89.745399,4.739833,856.606833,NaN
20160416-15:05,23.765000,93.168712,4.690833,856.169667,NaN
20160416-16:05,23.055000,96.592025,3.573000,855.946333,NaN
20160416-17:05,20.753333,100.015337,4.903500,856.052333,NaN
20160416-18:05,17.573333,103.438650,8.585000,856.364500,NaN
20160416-19:05,15.048333,106.861963,7.347500,856.707667,NaN
20160416-20:05,15.098333,109.714724,7.693833,857.245167,NaN
20160416-21:05,15.745000,120.500000,10.710333,857.747667,NaN
20160416-22:05,15.536667,105.333333,11.485000,858.101000,NaN
20160416-23:05,15.493333,126.500000,9.398333,858.105833,NaN
