x	y	z	prob	kg/s	dx	dy	dur	
512230	4535880	0	1	0.483	10	10	14400
512240	4535880	0	1	0.483	10	10	14400
512250	4535880	0	1	0.483	10	10	14400
512260	4535880	0	1	0.483	10	10	14400
512270	4535880	0	1	0.483	10	10	14400
512280	4535880	0	1	0.483	10	10	14400
512290	4535880	0	1	0.483	10	10	14400
512300	4535880	0	1	0.483	10	10	14400
512230	4535890	0	1	0.483	10	10	14400
512240	4535890	0	1	0.483	10	10	14400
512250	4535890	0	1	0.483	10	10	14400
512260	4535890	0	1	0.483	10	10	14400
512270	4535890	0	1	0.483	10	10	14400
512280	4535890	0	1	0.483	10	10	14400
512290	4535890	0	1	0.483	10	10	14400
512300	4535890	0	1	0.483	10	10	14400
512230	4535900	0	1	0.483	10	10	14400
512240	4535900	0	1	0.483	10	10	14400
512250	4535900	0	1	0.483	10	10	14400
512260	4535900	0	1	0.483	10	10	14400
512270	4535900	0	1	0.483	10	10	14400
512280	4535900	0	1	0.483	10	10	14400
512290	4535900	0	1	0.483	10	10	14400
512300	4535900	0	1	0.483	10	10	14400
512230	4535910	0	1	0.483	10	10	14400
512240	4535910	0	1	0.483	10	10	14400
512250	4535910	0	1	0.483	10	10	14400
512260	4535910	0	1	0.483	10	10	14400
512270	4535910	0	1	0.483	10	10	14400
512280	4535910	0	1	0.483	10	10	14400
512290	4535910	0	1	0.483	10	10	14400
512300	4535910	0	1	0.483	10	10	14400
512230	4535920	0	1	0.483	10	10	14400
512240	4535920	0	1	0.483	10	10	14400
512250	4535920	0	1	0.483	10	10	14400
512260	4535920	0	1	0.483	10	10	14400
512270	4535920	0	1	0.483	10	10	14400
512280	4535920	0	1	0.483	10	10	14400
512290	4535920	0	1	0.483	10	10	14400
512300	4535920	0	1	0.483	10	10	14400
512230	4535930	0	1	0.483	10	10	14400
512240	4535930	0	1	0.483	10	10	14400
512250	4535930	0	1	0.483	10	10	14400
512260	4535930	0	1	0.483	10	10	14400
512270	4535930	0	1	0.483	10	10	14400
512280	4535930	0	1	0.483	10	10	14400
512290	4535930	0	1	0.483	10	10	14400
512300	4535930	0	1	0.483	10	10	14400
	
